sale_date,address,lot,property_type,rooms,floor,square_meters,price,difference_rate,latitude,longitude
23.04.2023,סוטין 15,6217-175-14,דירה בבית קומות,6,חמישית,191,13515000,,32.082286,34.785182
22.04.2023,פרזון 5,6134-622-90,,4,,86,3207288,,32.055117,34.797256
20.04.2023,הסבוראים 13,7223-77-3,דירה בבית קומות,4,ראשונה,78.50,5350000,,32.11677,34.794046
20.04.2023,,6634-15-19,דירה בבית קומות,4,שניה,79,5650000,
20.04.2023,הסוללים 1,7094-123-46,מחסנים,0,,52000,,,32.071329,34.796313
20.04.2023,מזאה 70,6941-123-4,דירה בבית קומות,2,ראשונה,46.52,560000,,,
20.04.2023,קרליבך 4,7104-289-621,דירה בבית קומות,5,עשרים ושבע,101,2625000,,32.067257,34.783675
20.04.2023,אנטוקולסקי 6,6217-394-5,דירה בבית קומות,3,ראשונה,51,5550000,,32.084109,34.783193
20.04.2023,יפתח 2,6133-1034-20,דירה בבית קומות,4,חמישית,104,1935000,,32.058491,34.799161
20.04.2023,ישעיהו ליבוביץ 2,6136-299-226,דירה בבית קומות,3,שניה,79,2212000,,,
20.04.2023,מעפילי אגוז 1,7241-28-91,דירה בבית קומות,4,חמישית,73,2139000,,32.049621,34.811672
20.04.2023,בית לחם 3,6912-42-6,חניה,0,,300000,,,32.07086,34.770941
19.04.2023,אנטוקולסקי 6,6217-394-3,דירה בבית קומות,5,קרקע,132,5671000,,32.084109,34.783193
19.04.2023,בני דן 16,6212-494-12,,3,שלישית,54,551000,,32.095296,34.785883
19.04.2023,ליליאן 10,6217-417-2,דירה בבית קומות,2,קרקע,56.51,10266000,,32.083893,34.783058
19.04.2023,פילדלפיה 4,7321-128-21,דירה בבית קומות,4,שישית,77.60,3100000,,32.121268,34.841069
19.04.2023,ליליאן 10,6217-417-10,דירה בבית קומות,2,שלישית,57.79,5470000,,32.083893,34.783058
19.04.2023,רמה 2,7321-161-28,דירה בבית קומות,4,שלישית,100,4225000,,32.118876,34.841764
19.04.2023,אנטוקולסקי 6,6217-394-2,דירה בבית קומות,1,קרקע,52,3810000,,32.084109,34.783193
19.04.2023,ליליאן 10,6217-417-1,דירה בבית קומות,4,קרקע,79,3620000,,32.083893,34.783058
19.04.2023,קהילת ורשה 31,6636-886-1,דירה בבית קומות,4,שישית,107,4630000,,32.112484,34.819107
18.04.2023,שיינקין 54,6936-2-6,דירה בבית קומות,2,ראשונה,49.67,3200000,,32.068547,34.776054
18.04.2023,אפרים קישון 75,7084-134-7,דירה בבית קומות,1,ראשונה,49.60,2450000,,,
18.04.2023,המאירי אביגדור 3,6625-1029-9,דירה בבית קומות,4,חמישית,93,4158000,,32.117504,34.821277
18.04.2023,חבד 30,7047-39-2,קרקע למגורים,0,קרקע,67.74,1000000,,32.0606328,34.7698509
18.04.2023,פומבדיתא 20,6111-505-2,דירה בבית קומות,5,קרקע,60,7100000,,32.082157,34.788258
17.04.2023,מקור חיים 40,6973-157-3,דירה בבית קומות,4,שניה,92.21,2850000,,32.05278,34.778003
17.04.2023,לואי מרשל 7,6212-1276-3,דירה בבית קומות,3,קרקע,73,4750000,,32.091912,34.785292
17.04.2023,הסבוראים 11,7223-52-5,,3,שניה,70.10,4100000,,32.116524,34.793978
16.04.2023,,6634-15-20,דירה בבית קומות,3,ראשונה,65,4700000,
16.04.2023,בקר אהרון 1,6626-219-70,דירה בבית קומות,3,שניה,73.47,3790000,,32.123711,34.81512
16.04.2023,קהילת ורשה 103,6636-340-2,דירה בבית קומות,1,ראשונה,22.50,2254000,,32.108417,34.82021
13.04.2023,יבנה 26,6937-29-6,דירה בבית קומות,2,שלישית,58,4490000,,32.06482,34.773232
13.04.2023,הסוללים 1,7094-123-47,חניה,0,,66000,,,32.071329,34.796313
13.04.2023,ישעיהו ליבוביץ 2,6136-299-227,דירה בבית קומות,5,עשרים ואחת,125,4050000,,,
13.04.2023,חיננית 9,7050-187-10,דירה בבית קומות,4,שלישית,82.50,2400000,,32.031661,34.754854
11.04.2023,הירקון 22,6916-71-4,דירה בבית קומות,2,שניה,58,3140000,,32.070591,34.765087
10.04.2023,דרזנר יחיאל 8,6628-641-101,דירה בבית קומות,5,ראשונה,107.45,4950000,,32.126804,34.806203
10.04.2023,לה גארדיה 69,6133-467-23,דירה בבית קומות,2,שישית,50,2440000,,,
10.04.2023,,6634-15-21,דירה בבית קומות,5,חמישית,141,12120000,
09.04.2023,לה גארדיה 69,6133-467-8,,2,ראשונה,50,2440000,,,
09.04.2023,מעפילי אגוז 92,7244-7-18,חניה,4,קרקע  ,80000,,,32.055332,34.808549
09.04.2023,אחימעץ 33,6135-206-4,דירה בבית קומות,5,שניה ו-שלישית,96.99,3350000,,32.048298,34.797036
07.04.2023,אלוף 2,6892-25-3,דירה בבית קומות,4,ראשונה,82,990000,,32.051647,34.797643
05.04.2023,טשרניחובסקי 19,7226-22-8,דירה בבית קומות,2,שניה,48.30,3575000,,32.072343,34.771229
04.04.2023,הנביאים 26,7111-77-10,דירה בבית קומות,3,שלישית,92.53,7950000,,32.075611,34.779601
04.04.2023,הנביאים 26,7111-77-11,דירה בבית קומות,3,שלישית,71.69,5850000,,32.075611,34.779601
04.04.2023,אבידן דוד 18,6615-299-27,דירה בבית קומות,5,רביעית,80,3650000,,32.126976,34.830821
04.04.2023,החצוצרה 5,6984-29-4,דירה בבית קומות,3,ראשונה,54.30,2600000,,32.043944,34.776705
04.04.2023,המכבי 1,7226-73-4,חנות,0,ה 0,22.55,1205000,,32.071829,34.771292
04.04.2023,הזוהר 38,6106-507-13,דירה בבית קומות,5,שביעית,126,9783000,,32.096143,34.795139
04.04.2023,בודנהיימר 2,6212-131-5,דירה בבית קומות,2,קרקע,54,3831000,,32.091215,34.788808
04.04.2023,הבשן 9,6212-396-6,דירה בבית קומות,3,ראשונה,59,3300000,,32.09106,34.782272
04.04.2023,,6634-15-22,דירה בבית קומות,5,שביעית,130,9300000,
04.04.2023,זכרון יעקב 11,6213-596-16,דירה בבית קומות,5,שניה,129,8100000,,32.084134,34.791152
04.04.2023,בארי 19,6217-34-4,דירה בבית קומות,4,שישית,102,6975000,,32.049302,34.793529
04.04.2023,שטנד 7,6903-147-3,דירה בבית קומות,5,רביעית,124,5350000,,32.078114,34.777251
03.04.2023,רדינג 16,6770-7-89,דירה בבית קומות,3,שניה,52.80,3550000,,32.105435,34.794659
03.04.2023,רוטנשטרייך 18,7243-9-54,דירה בבית קומות,3,שביעית,62.60,900000,,32.046246,34.81259
03.04.2023,כורש 2,7103-5-9,דירה בבית קומות,2,שניה,62,4050000,,32.065837,34.779624
03.04.2023,לבונטין 17,7444-30-22,דירה בבית קומות,3,שניה,60,4250000,,32.062146,34.775925
03.04.2023,ברלין ישעיהו 1,6970-103-80,דירה בבית קומות,4,שמינית,90,3506000,,,
03.04.2023,בודנהיימר 2,6212-131-65,,2,,41,3831094,,32.091215,34.788808
03.04.2023,בארי 19,6217-34-3,,4,,102,6975000,,32.049302,34.793529
03.04.2023,רובינשטיין ארתור 9,6884-25-36,דירה בבית קומות,3,שלישית,89,3900000,,32.113872,34.787977
03.04.2023,דיזנגוף 223,6960-121-20,דירה בבית קומות,4,----,80,4861000,,32.0903189,34.77552811770088
03.04.2023,הזוהר 29,6106-462-8,דירה בבית קומות,5,שניה,55,3050000,,32.095075,34.795112
03.04.2023,זכרון יעקב 11,6213-596-15,,5,שניה,129,8100000,,32.084134,34.791152
03.04.2023,עין הקורא 16,6944-81-41,דירה בבית קומות,3,רביעית,59,2850000,,32.057245,34.782486
03.04.2023,התבור 5,7227-107-4,חנות,0,,106,6508000,,32.066651,34.767306
03.04.2023,חדרה 10,6213-167-9,דירה בבית קומות,2,שלישית,56,3995000,,32.086014,34.787058
